,Usecase,Parameter,Parameter Value,Obj Value,Runtime
0,Small,BQPCuts,-1,545.3111591697021,0.07500004768371582
1,Small,BQPCuts,0,545.3111591697021,0.06200003623962402
2,Small,BQPCuts,1,545.3111591697021,0.06099987030029297
3,Small,BQPCuts,2,545.3111591697021,0.05900001525878906
4,Small,CliqueCuts,-1,545.3111591697021,0.0690000057220459
5,Small,CliqueCuts,0,545.3111591697021,0.05299997329711914
6,Small,CliqueCuts,1,545.3111591697021,0.05500006675720215
7,Small,CliqueCuts,2,545.3111591697021,0.07400012016296387
8,Small,CoverCuts,-1,545.3111591697021,0.05299997329711914
9,Small,CoverCuts,0,545.3111591697021,0.0820000171661377
10,Small,CoverCuts,1,545.3111591697021,0.11800003051757812
11,Small,CoverCuts,2,545.3111591697021,0.0710000991821289
12,Small,FlowCoverCuts,-1,545.3111591697021,0.057000160217285156
13,Small,FlowCoverCuts,0,545.3111591697021,0.07599997520446777
14,Small,FlowCoverCuts,1,545.3111591697021,0.06999993324279785
15,Small,FlowCoverCuts,2,545.3111591697021,0.07000017166137695
16,Small,FlowPathCuts,-1,545.3111591697021,0.05499982833862305
17,Small,FlowPathCuts,0,545.3111591697021,0.07899999618530273
18,Small,FlowPathCuts,1,545.3111591697021,0.10700011253356934
19,Small,FlowPathCuts,2,545.3111591697021,0.06500005722045898
20,Small,GUBCoverCuts,-1,545.3111591697021,0.07899999618530273
21,Small,GUBCoverCuts,0,545.3111591697021,0.08999991416931152
22,Small,GUBCoverCuts,1,545.3111591697021,0.09399986267089844
23,Small,GUBCoverCuts,2,545.3111591697021,0.07699990272521973
24,Small,ImpliedCuts,-1,545.3111591697021,0.08099985122680664
25,Small,ImpliedCuts,0,545.3111591697021,0.05800008773803711
26,Small,ImpliedCuts,1,545.3111591697021,0.06599998474121094
27,Small,ImpliedCuts,2,545.3111591697021,0.06500005722045898
28,Small,InfProofCuts,-1,545.3111591697021,0.0559999942779541
29,Small,InfProofCuts,0,545.3111591697021,0.06299996376037598
30,Small,InfProofCuts,1,545.3111591697021,0.056999921798706055
31,Small,InfProofCuts,2,545.3111591697021,0.0559999942779541
32,Small,LiftProjectCuts,-1,545.3111591697021,0.08999991416931152
33,Small,LiftProjectCuts,0,545.3111591697021,0.07599997520446777
34,Small,LiftProjectCuts,1,545.3111591697021,0.08800005912780762
35,Small,LiftProjectCuts,2,545.3111591697021,0.06099987030029297
36,Small,MIPSepCuts,-1,545.3111591697021,0.05500006675720215
37,Small,MIPSepCuts,0,545.3111591697021,0.05299997329711914
38,Small,MIPSepCuts,1,545.3111591697021,0.054000139236450195
39,Small,MIPSepCuts,2,545.3111591697021,0.09299993515014648
40,Small,MIRCuts,-1,545.3111591697021,0.10400009155273438
41,Small,MIRCuts,0,545.3111591697021,0.053999900817871094
42,Small,MIRCuts,1,545.3111591697021,0.06200003623962402
43,Small,MIRCuts,2,545.3111591697021,0.06700015068054199
44,Small,ModKCuts,-1,545.3111591697021,0.05500006675720215
45,Small,ModKCuts,0,545.3111591697021,0.05799984931945801
46,Small,ModKCuts,1,545.3111591697021,0.05299997329711914
47,Small,ModKCuts,2,545.3111591697021,0.051000118255615234
