,Usecase,Parameter,Parameter Value,Obj Value,Runtime
0,Small,BQPCuts,-1,545.3111591697021,0.07311058044433594
1,Small,BQPCuts,0,545.3111591697021,0.05553436279296875
2,Small,BQPCuts,1,545.3111591697021,0.05988883972167969
3,Small,BQPCuts,2,545.3111591697021,0.05057334899902344
4,Small,CliqueCuts,-1,545.3111591697021,0.04785728454589844
5,Small,CliqueCuts,0,545.3111591697021,0.06299972534179688
6,Small,CliqueCuts,1,545.3111591697021,0.055545806884765625
7,Small,CliqueCuts,2,545.3111591697021,0.0549468994140625
8,Small,CoverCuts,-1,545.3111591697021,0.05097007751464844
9,Small,CoverCuts,0,545.3111591697021,0.0555572509765625
10,Small,CoverCuts,1,545.3111591697021,0.05451774597167969
11,Small,CoverCuts,2,545.3111591697021,0.07365226745605469
12,Small,FlowCoverCuts,-1,545.3111591697021,0.04695320129394531
13,Small,FlowCoverCuts,0,545.3111591697021,0.048313140869140625
14,Small,FlowCoverCuts,1,545.3111591697021,0.05265045166015625
15,Small,FlowCoverCuts,2,545.3111591697021,0.047969818115234375
16,Small,FlowPathCuts,-1,545.3111591697021,0.04380226135253906
17,Small,FlowPathCuts,0,545.3111591697021,0.0460662841796875
18,Small,FlowPathCuts,1,545.3111591697021,0.05005836486816406
19,Small,FlowPathCuts,2,545.3111591697021,0.07418441772460938
20,Small,GUBCoverCuts,-1,545.3111591697021,0.0560302734375
21,Small,GUBCoverCuts,0,545.3111591697021,0.05092811584472656
22,Small,GUBCoverCuts,1,545.3111591697021,0.060688018798828125
23,Small,GUBCoverCuts,2,545.3111591697021,0.043796539306640625
24,Small,ImpliedCuts,-1,545.3111591697021,0.05188179016113281
25,Small,ImpliedCuts,0,545.3111591697021,0.06676101684570312
26,Small,ImpliedCuts,1,545.3111591697021,0.14883804321289062
27,Small,ImpliedCuts,2,545.3111591697021,0.05057525634765625
28,Small,InfProofCuts,-1,545.3111591697021,0.08816146850585938
29,Small,InfProofCuts,0,545.3111591697021,0.050365447998046875
30,Small,InfProofCuts,1,545.3111591697021,0.04785346984863281
31,Small,InfProofCuts,2,545.3111591697021,0.046321868896484375
32,Small,LiftProjectCuts,-1,545.3111591697021,0.06871986389160156
33,Small,LiftProjectCuts,0,545.3111591697021,0.10852432250976562
34,Small,LiftProjectCuts,1,545.3111591697021,0.04387474060058594
35,Small,LiftProjectCuts,2,545.3111591697021,0.04557991027832031
36,Small,MIPSepCuts,-1,545.3111591697021,0.04901313781738281
37,Small,MIPSepCuts,0,545.3111591697021,0.043842315673828125
38,Small,MIPSepCuts,1,545.3111591697021,0.044918060302734375
39,Small,MIPSepCuts,2,545.3111591697021,0.046375274658203125
40,Small,MIRCuts,-1,545.3111591697021,0.046726226806640625
41,Small,MIRCuts,0,545.3111591697021,0.07521629333496094
42,Small,MIRCuts,1,545.3111591697021,0.04622650146484375
