,Usecase,Parameter,Parameter Value,Obj Value,Runtime
0,Small,CutPasses,0,545.3111591697021,0.05299997329711914
1,Small,CutPasses,1,545.3111591697021,0.05500006675720215
2,Small,CutPasses,2,545.3111591697021,0.051999807357788086
3,Small,CutPasses,3,545.3111591697021,0.0839998722076416
4,Small,CutPasses,4,545.3111591697021,0.06299996376037598
5,Small,CutPasses,5,545.3111591697021,0.05500006675720215
6,Small,CutPasses,6,545.3111591697021,0.053999900817871094
7,Small,CutPasses,7,545.3111591697021,0.06400012969970703
8,Small,CutPasses,8,545.3111591697021,0.07899999618530273
9,Small,CutPasses,9,545.3111591697021,0.0559999942779541
10,Small,CutPasses,10,545.3111591697021,0.057000160217285156
11,Small,CutPasses,11,545.3111591697021,0.059999942779541016
12,Small,CutPasses,12,545.3111591697021,0.05800008773803711
13,Small,CutPasses,13,545.3111591697021,0.09100008010864258
14,Small,CutPasses,14,545.3111591697021,0.07500004768371582
15,Small,CutPasses,15,545.3111591697021,0.06000018119812012
16,Small,CutPasses,16,545.3111591697021,0.054000139236450195
17,Small,CutPasses,17,545.3111591697021,0.07999992370605469
18,Small,CutPasses,18,545.3111591697021,0.05200004577636719
19,Small,CutPasses,19,545.3111591697021,0.05500006675720215
20,Small,CutPasses,20,545.3111591697021,0.053999900817871094
21,Small,CutPasses,21,545.3111591697021,0.05499982833862305
22,Small,CutPasses,22,545.3111591697021,0.08700013160705566
23,Small,CutPasses,23,545.3111591697021,0.053999900817871094
24,Small,CutPasses,24,545.3111591697021,0.08499979972839355
25,Small,CutPasses,25,545.3111591697021,0.05499982833862305
26,Small,CutPasses,26,545.3111591697021,0.07699990272521973
27,Small,CutPasses,27,545.3111591697021,0.056999921798706055
28,Small,CutPasses,28,545.3111591697021,0.0690000057220459
29,Small,CutPasses,29,545.3111591697021,0.0690000057220459
30,Small,CutPasses,30,545.3111591697021,0.05900001525878906
31,Small,CutPasses,31,545.3111591697021,0.0559999942779541
32,Small,CutPasses,32,545.3111591697021,0.0559999942779541
33,Small,CutPasses,33,545.3111591697021,0.06199979782104492
34,Small,CutPasses,34,545.3111591697021,0.06100010871887207
35,Small,CutPasses,35,545.3111591697021,0.06699991226196289
36,Small,CutPasses,36,545.3111591697021,0.08899998664855957
37,Small,CutPasses,37,545.3111591697021,0.09500002861022949
38,Small,CutPasses,38,545.3111591697021,0.11300015449523926
39,Small,CutPasses,39,545.3111591697021,0.07699990272521973
40,Small,CutPasses,40,545.3111591697021,0.10800004005432129
41,Small,CutPasses,41,545.3111591697021,0.0969998836517334
42,Small,CutPasses,42,545.3111591697021,0.06399989128112793
43,Small,CutPasses,43,545.3111591697021,0.0409998893737793
44,Small,CutPasses,44,545.3111591697021,0.06800007820129395
45,Small,CutPasses,45,545.3111591697021,0.08599996566772461
46,Small,CutPasses,46,545.3111591697021,0.0690000057220459
47,Small,CutPasses,47,545.3111591697021,0.06700015068054199
48,Small,CutPasses,48,545.3111591697021,0.09300017356872559
49,Small,CutPasses,49,545.3111591697021,0.06800007820129395
50,Small,CutPasses,50,545.3111591697021,0.05800008773803711
51,Small,CutPasses,51,545.3111591697021,0.08699989318847656
52,Small,CutPasses,52,545.3111591697021,0.05099987983703613
53,Small,CutPasses,53,545.3111591697021,0.04800009727478027
54,Small,CutPasses,54,545.3111591697021,0.054000139236450195
55,Small,CutPasses,55,545.3111591697021,0.05000019073486328
56,Small,CutPasses,56,545.3111591697021,0.06000018119812012
57,Small,CutPasses,57,545.3111591697021,0.0710000991821289
58,Small,CutPasses,58,545.3111591697021,0.05099987983703613
59,Small,CutPasses,59,545.3111591697021,0.06299996376037598
60,Small,CutPasses,60,545.3111591697021,0.0710000991821289
61,Small,CutPasses,61,545.3111591697021,0.056999921798706055
62,Small,CutPasses,62,545.3111591697021,0.08599996566772461
63,Small,CutPasses,63,545.3111591697021,0.06699991226196289
64,Small,CutPasses,64,545.3111591697021,0.08000016212463379
65,Small,CutPasses,65,545.3111591697021,0.06099987030029297
66,Small,CutPasses,66,545.3111591697021,0.05299997329711914
67,Small,CutPasses,67,545.3111591697021,0.05500006675720215
68,Small,CutPasses,68,545.3111591697021,0.06200003623962402
69,Small,CutPasses,69,545.3111591697021,0.05500006675720215
70,Small,CutPasses,70,545.3111591697021,0.06100010871887207
71,Small,CutPasses,71,545.3111591697021,0.09599995613098145
72,Small,CutPasses,72,545.3111591697021,0.046000003814697266
73,Small,CutPasses,73,545.3111591697021,0.21199989318847656
74,Small,CutPasses,74,545.3111591697021,0.08800005912780762
75,Small,CutPasses,75,545.3111591697021,0.07299995422363281
76,Small,CutPasses,76,545.3111591697021,0.051000118255615234
77,Small,CutPasses,77,545.3111591697021,0.04999995231628418
78,Small,CutPasses,78,545.3111591697021,0.07000017166137695
79,Small,CutPasses,79,545.3111591697021,0.05800008773803711
80,Small,CutPasses,80,545.3111591697021,0.04700016975402832
81,Small,CutPasses,81,545.3111591697021,0.06399989128112793
82,Small,CutPasses,82,545.3111591697021,0.06399989128112793
83,Small,CutPasses,83,545.3111591697021,0.051000118255615234
84,Small,CutPasses,84,545.3111591697021,0.05099987983703613
85,Small,CutPasses,85,545.3111591697021,0.054000139236450195
86,Small,CutPasses,86,545.3111591697021,0.05299997329711914
87,Small,CutPasses,87,545.3111591697021,0.07699990272521973
88,Small,CutPasses,88,545.3111591697021,0.04400014877319336
89,Small,CutPasses,89,545.3111591697021,0.18700003623962402
90,Small,CutPasses,90,545.3111591697021,0.09200000762939453
91,Small,CutPasses,91,545.3111591697021,0.08899998664855957
92,Small,CutPasses,92,545.3111591697021,0.06400012969970703
93,Small,CutPasses,93,545.3111591697021,0.06100010871887207
94,Small,CutPasses,94,545.3111591697021,0.05299997329711914
95,Small,CutPasses,95,545.3111591697021,0.042999982833862305
96,Small,CutPasses,96,545.3111591697021,0.05900001525878906
97,Small,CutPasses,97,545.3111591697021,0.10400009155273438
98,Small,CutPasses,98,545.3111591697021,0.08099985122680664
99,Small,CutPasses,99,545.3111591697021,0.056999921798706055
100,Small,CutAggPasses,0,545.3111591697021,0.04500007629394531
101,Small,CutAggPasses,1,545.3111591697021,0.054000139236450195
102,Small,CutAggPasses,2,545.3111591697021,0.06599998474121094
103,Small,CutAggPasses,3,545.3111591697021,0.07899999618530273
104,Small,CutAggPasses,4,545.3111591697021,0.07599997520446777
105,Small,CutAggPasses,5,545.3111591697021,0.05800008773803711
106,Small,CutAggPasses,6,545.3111591697021,0.0410001277923584
107,Small,CutAggPasses,7,545.3111591697021,0.05800008773803711
108,Small,CutAggPasses,8,545.3111591697021,0.07599997520446777
109,Small,CutAggPasses,9,545.3111591697021,0.06399989128112793
110,Small,CutAggPasses,10,545.3111591697021,0.07899999618530273
111,Small,CutAggPasses,11,545.3111591697021,0.06800007820129395
112,Small,CutAggPasses,12,545.3111591697021,0.06400012969970703
113,Small,CutAggPasses,13,545.3111591697021,0.09200000762939453
114,Small,CutAggPasses,14,545.3111591697021,0.07200002670288086
115,Small,CutAggPasses,15,545.3111591697021,0.10799980163574219
116,Small,CutAggPasses,16,545.3111591697021,0.07299995422363281
117,Small,CutAggPasses,17,545.3111591697021,0.09400010108947754
118,Small,CutAggPasses,18,545.3111591697021,0.054000139236450195
119,Small,CutAggPasses,19,545.3111591697021,0.05300021171569824
120,Small,CutAggPasses,20,545.3111591697021,0.053999900817871094
121,Small,CutAggPasses,21,545.3111591697021,0.05800008773803711
122,Small,CutAggPasses,22,545.3111591697021,0.06800007820129395
123,Small,CutAggPasses,23,545.3111591697021,0.05099987983703613
124,Small,CutAggPasses,24,545.3111591697021,0.0559999942779541
125,Small,CutAggPasses,25,545.3111591697021,0.08999991416931152
126,Small,CutAggPasses,26,545.3111591697021,0.08900022506713867
127,Small,CutAggPasses,27,545.3111591697021,0.053999900817871094
128,Small,CutAggPasses,28,545.3111591697021,0.0820000171661377
129,Small,CutAggPasses,29,545.3111591697021,0.0969998836517334
130,Small,CutAggPasses,30,545.3111591697021,0.09399986267089844
131,Small,CutAggPasses,31,545.3111591697021,0.11399984359741211
132,Small,CutAggPasses,32,545.3111591697021,0.08300018310546875
133,Small,CutAggPasses,33,545.3111591697021,0.10699987411499023
134,Small,CutAggPasses,34,545.3111591697021,0.07299995422363281
135,Small,CutAggPasses,35,545.3111591697021,0.09099984169006348
136,Small,CutAggPasses,36,545.3111591697021,0.05900001525878906
137,Small,CutAggPasses,37,545.3111591697021,0.07500004768371582
138,Small,CutAggPasses,38,545.3111591697021,0.04800009727478027
139,Small,CutAggPasses,39,545.3111591697021,0.06200003623962402
140,Small,CutAggPasses,40,545.3111591697021,0.08300018310546875
141,Small,CutAggPasses,41,545.3111591697021,0.059999942779541016
142,Small,CutAggPasses,42,545.3111591697021,0.06699991226196289
143,Small,CutAggPasses,43,545.3111591697021,0.0690000057220459
144,Small,CutAggPasses,44,545.3111591697021,0.06699991226196289
145,Small,CutAggPasses,45,545.3111591697021,0.059999942779541016
146,Small,CutAggPasses,46,545.3111591697021,0.07299995422363281
147,Small,CutAggPasses,47,545.3111591697021,0.08999991416931152
148,Small,CutAggPasses,48,545.3111591697021,0.06499981880187988
149,Small,CutAggPasses,49,545.3111591697021,0.05299997329711914
150,Small,CutAggPasses,50,545.3111591697021,0.12000012397766113
151,Small,CutAggPasses,51,545.3111591697021,0.04999995231628418
152,Small,CutAggPasses,52,545.3111591697021,0.05900001525878906
153,Small,CutAggPasses,53,545.3111591697021,0.04200005531311035
154,Small,CutAggPasses,54,545.3111591697021,0.0690000057220459
155,Small,CutAggPasses,55,545.3111591697021,0.051000118255615234
156,Small,CutAggPasses,56,545.3111591697021,0.05900001525878906
157,Small,CutAggPasses,57,545.3111591697021,0.04999995231628418
158,Small,CutAggPasses,58,545.3111591697021,0.057000160217285156
159,Small,CutAggPasses,59,545.3111591697021,0.05500006675720215
160,Small,CutAggPasses,60,545.3111591697021,0.051000118255615234
161,Small,CutAggPasses,61,545.3111591697021,0.05799984931945801
162,Small,CutAggPasses,62,545.3111591697021,0.04999995231628418
163,Small,CutAggPasses,63,545.3111591697021,0.04399991035461426
164,Small,CutAggPasses,64,545.3111591697021,0.04799985885620117
165,Small,CutAggPasses,65,545.3111591697021,0.056999921798706055
166,Small,CutAggPasses,66,545.3111591697021,0.05299997329711914
167,Small,CutAggPasses,67,545.3111591697021,0.05799984931945801
168,Small,CutAggPasses,68,545.3111591697021,0.05099987983703613
169,Small,CutAggPasses,69,545.3111591697021,0.0709998607635498
170,Small,CutAggPasses,70,545.3111591697021,0.0410001277923584
171,Small,CutAggPasses,71,545.3111591697021,0.04699993133544922
172,Small,CutAggPasses,72,545.3111591697021,0.04700016975402832
173,Small,CutAggPasses,73,545.3111591697021,0.053999900817871094
174,Small,CutAggPasses,74,545.3111591697021,0.07800006866455078
175,Small,CutAggPasses,75,545.3111591697021,0.04999995231628418
176,Small,CutAggPasses,76,545.3111591697021,0.06100010871887207
177,Small,CutAggPasses,77,545.3111591697021,0.059999942779541016
178,Small,CutAggPasses,78,545.3111591697021,0.042999982833862305
179,Small,CutAggPasses,79,545.3111591697021,0.0559999942779541
180,Small,CutAggPasses,80,545.3111591697021,0.1100001335144043
181,Small,CutAggPasses,81,545.3111591697021,0.0559999942779541
182,Small,CutAggPasses,82,545.3111591697021,0.042999982833862305
183,Small,CutAggPasses,83,545.3111591697021,0.04999995231628418
184,Small,CutAggPasses,84,545.3111591697021,0.06200003623962402
185,Small,CutAggPasses,85,545.3111591697021,0.05800008773803711
186,Small,CutAggPasses,86,545.3111591697021,0.04399991035461426
187,Small,CutAggPasses,87,545.3111591697021,0.07299995422363281
188,Small,CutAggPasses,88,545.3111591697021,0.08500003814697266
189,Small,CutAggPasses,89,545.3111591697021,0.04999995231628418
190,Small,CutAggPasses,90,545.3111591697021,0.0559999942779541
191,Small,CutAggPasses,91,545.3111591697021,0.0690000057220459
192,Small,CutAggPasses,92,545.3111591697021,0.07999992370605469
193,Small,CutAggPasses,93,545.3111591697021,0.06199979782104492
194,Small,CutAggPasses,94,545.3111591697021,0.09499979019165039
195,Small,CutAggPasses,95,545.3111591697021,0.09999990463256836
196,Small,CutAggPasses,96,545.3111591697021,0.0820000171661377
197,Small,CutAggPasses,97,545.3111591697021,0.051000118255615234
198,Small,CutAggPasses,98,545.3111591697021,0.05900001525878906
199,Small,CutAggPasses,99,545.3111591697021,0.04999995231628418
200,Small,GomoryPasses,0,545.3111591697021,0.06599998474121094
201,Small,GomoryPasses,1,545.3111591697021,0.04900002479553223
202,Small,GomoryPasses,2,545.3111591697021,0.09799981117248535
203,Small,GomoryPasses,3,545.3111591697021,0.0559999942779541
204,Small,GomoryPasses,4,545.3111591697021,0.042999982833862305
205,Small,GomoryPasses,5,545.3111591697021,0.04900002479553223
206,Small,GomoryPasses,6,545.3111591697021,0.053999900817871094
207,Small,GomoryPasses,7,545.3111591697021,0.04699993133544922
208,Small,GomoryPasses,8,545.3111591697021,0.08800005912780762
209,Small,GomoryPasses,9,545.3111591697021,0.037999868392944336
210,Small,GomoryPasses,10,545.3111591697021,0.05500006675720215
211,Small,GomoryPasses,11,545.3111591697021,0.05099987983703613
212,Small,GomoryPasses,12,545.3111591697021,0.06500005722045898
213,Small,GomoryPasses,13,545.3111591697021,0.07500004768371582
214,Small,GomoryPasses,14,545.3111591697021,0.05500006675720215
215,Small,GomoryPasses,15,545.3111591697021,0.053999900817871094
216,Small,GomoryPasses,16,545.3111591697021,0.046000003814697266
217,Small,GomoryPasses,17,545.3111591697021,0.06299996376037598
218,Small,GomoryPasses,18,545.3111591697021,0.05299997329711914
219,Small,GomoryPasses,19,545.3111591697021,0.04999995231628418
220,Small,GomoryPasses,20,545.3111591697021,0.0559999942779541
221,Small,GomoryPasses,21,545.3111591697021,0.051000118255615234
222,Small,GomoryPasses,22,545.3111591697021,0.06200003623962402
223,Small,GomoryPasses,23,545.3111591697021,0.1100001335144043
224,Small,GomoryPasses,24,545.3111591697021,0.08999991416931152
225,Small,GomoryPasses,25,545.3111591697021,0.05799984931945801
226,Small,GomoryPasses,26,545.3111591697021,0.05200004577636719
227,Small,GomoryPasses,27,545.3111591697021,0.06100010871887207
228,Small,GomoryPasses,28,545.3111591697021,0.04399991035461426
229,Small,GomoryPasses,29,545.3111591697021,0.06299996376037598
230,Small,GomoryPasses,30,545.3111591697021,0.11300015449523926
231,Small,GomoryPasses,31,545.3111591697021,0.06200003623962402
232,Small,GomoryPasses,32,545.3111591697021,0.07599997520446777
233,Small,GomoryPasses,33,545.3111591697021,0.0559999942779541
234,Small,GomoryPasses,34,545.3111591697021,0.05800008773803711
235,Small,GomoryPasses,35,545.3111591697021,0.10899996757507324
236,Small,GomoryPasses,36,545.3111591697021,0.056999921798706055
